arm_id,config_hash,input_hash,state_hash,prior_state_hash,final_state_hash,repair_budget,repair_strategy,case_count,initially_invalid_case_count,commit_count,fallback_count,repair_success_count,executed_repair_count,passed_case_count
rejection_only,eae0609bda16f19b2f658569a6edc728efce2823570600cd3483b475075705dd,5d2ce4c9d424309901694bbe74111ac4dd684c3e9ee0a6fae9fcf6707684709a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,8d3e83544e68f2025b7a9becf01af58d7fb875b8a2f2583c53becca4a97b2207,0,none,12,12,0,12,0,0,12
unchanged_retry,e0157d756b1ad4cfba895c9799dd454354126b24d0feabce3fa6ecdc6a2d9218,5d2ce4c9d424309901694bbe74111ac4dd684c3e9ee0a6fae9fcf6707684709a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,8d3e83544e68f2025b7a9becf01af58d7fb875b8a2f2583c53becca4a97b2207,1,unchanged,12,12,0,12,0,12,12
guided_repair,19e224e08391f9021e17d4f4150d98ebf03ead07649ba47829f20ecf47eceafa,5d2ce4c9d424309901694bbe74111ac4dd684c3e9ee0a6fae9fcf6707684709a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,74668960cd85c964ec289b2ce82062a841748ba3efd854dda78eb1e92018cd39,1,counterexample_guided,12,12,5,7,5,12,12
structured_repair,97634265cc7977a4cb10efd29e216f9e3ad7c3850d8764458aec28412cb37df9,5d2ce4c9d424309901694bbe74111ac4dd684c3e9ee0a6fae9fcf6707684709a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,fb20859acb7a432c7127a1b08a8cf1abbf76de719a7fc254eb165648e07359ff,1,policy_restore,12,12,6,6,6,12,12
