arm_id,config_hash,input_hash,state_hash,prior_state_hash,case_id,repairable,repair_budget,repair_strategy,initial_error_count,repair_attempt_count,trace_attempt_count,final_status,final_error_count,state_changed,final_state_hash,replay_passed,atomic_state_passed,passed
rejection_only,eae0609bda16f19b2f658569a6edc728efce2823570600cd3483b475075705dd,b423c1a98ac7d79efd4d513a757b49991bded89c0d9f988390ed59428218329b,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,repairable-policy-precondition,true,0,none,2,0,1,fallback,2,false,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true,true,true
unchanged_retry,e0157d756b1ad4cfba895c9799dd454354126b24d0feabce3fa6ecdc6a2d9218,b423c1a98ac7d79efd4d513a757b49991bded89c0d9f988390ed59428218329b,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,repairable-policy-precondition,true,1,unchanged,2,1,2,fallback,2,false,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true,true,true
structured_repair,97634265cc7977a4cb10efd29e216f9e3ad7c3850d8764458aec28412cb37df9,b423c1a98ac7d79efd4d513a757b49991bded89c0d9f988390ed59428218329b,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,repairable-policy-precondition,true,1,policy_restore,2,1,2,commit,0,true,e19c10dbdefb735021726e0e99c723c9022d6c2be75f4df28479a72e58762b24,true,true,true
rejection_only,eae0609bda16f19b2f658569a6edc728efce2823570600cd3483b475075705dd,1eeebdd079b27c1d1a035d64de3123ca6dd775e2bdb9baec54d8a22e9afc1b8a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,nonrepairable-unreachable-object,false,0,none,1,0,1,fallback,1,false,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true,true,true
unchanged_retry,e0157d756b1ad4cfba895c9799dd454354126b24d0feabce3fa6ecdc6a2d9218,1eeebdd079b27c1d1a035d64de3123ca6dd775e2bdb9baec54d8a22e9afc1b8a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,nonrepairable-unreachable-object,false,1,unchanged,1,1,2,fallback,1,false,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true,true,true
structured_repair,97634265cc7977a4cb10efd29e216f9e3ad7c3850d8764458aec28412cb37df9,1eeebdd079b27c1d1a035d64de3123ca6dd775e2bdb9baec54d8a22e9afc1b8a,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,nonrepairable-unreachable-object,false,1,policy_restore,1,1,2,fallback,1,false,b67c1152189232dc3b53038076612ef18f24d6f50fea9361fba3fb302670f991,true,true,true
