strategy_id	decision	eligible	precision	recall	f1	coverage	mrr_realistic	hits_at_1	hits_at_k	ndcg_at_k	brier_score	semantic_at_k	nonzero_weight_count
S0-degree-baseline	baseline	false	0.0	0.0	0.0	0.666666666667	0.281878306878	0.0	0.666666666667	0.376976584524	0.315333333333	0.555555555556	1
S1-lexical	discard	false	1.0	1.0	1.0	1.0	0.944444444444	1.0	1.0	1.0	0.155749638279	0.777777777778	1
S2-typed-lexical-loose	keep	true	1.0	1.0	1.0	1.0	0.944444444444	1.0	1.0	1.0	0.130984080248	1.0	2
S3-typed-lexical-strict	discard	false	1.0	0.5	0.666666666667	0.5	0.944444444444	1.0	1.0	1.0	0.130984080248	1.0	2
S4-typed-lexical-path	discard	true	0.833333333333	0.833333333333	0.833333333333	1.0	0.861111111111	0.833333333333	1.0	0.938488292262	0.137157438626	1.0	3
S5-path-heavy	discard	false	0.5	0.5	0.5	1.0	0.625	0.5	0.833333333333	0.688488292262	0.173777527466	1.0	3
S6-degree-mix	discard	false	0.5	0.5	0.5	1.0	0.638888888889	0.5	1.0	0.771821625595	0.140774460257	1.0	4
